Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
152,AR-II-m-B-00480,"Hotelul ""Stadt Wien”, azi ruine pivniţă",municipiul ARAD,Str. Alexandrescu Grigore 6,sf. sec. XVIII - înc. sec. XIX
153,AR-II-m-B-00481,Casă,municipiul ARAD,Str. Alexandrescu Grigore 16,sf. sec. XVIII
154,AR-II-m-B-00482,"Biserica de lemn ""Cuvioasa Paraschiva""",municipiul ARAD,"Str. Andrenyi Karoly 2-4, (în incinta Spitalului clinic județean de urgență)",1725
155,AR-II-m-B-00582,Clinica de pediatrie,municipiul ARAD,Str. Andrenyi Karoly 2-4,cca. 1905
156,AR-II-m-B-00566,"Casa fostei vămi, azi spaţii comerciale",municipiul ARAD,Calea Banatului 2,înc. sec. XX
157,AR-II-m-B-00483,Casă,municipiul ARAD,Str. Bălcescu Nicolae 1,1800 - 1850
158,AR-II-m-B-00484,"""Casa gotică""",municipiul ARAD,Str. Bălcescu Nicolae 6,1800 - 1850
159,AR-II-m-B-00485,"Colegiul Naţional ""Moise Nicoară”",municipiul ARAD,Piaţa Bibici Margareta 1,1869 - 1873
160,AR-II-m-B-00486,Casă,municipiul ARAD,"Str. Blaga Lucian 7, str. Eminescu Mihai 6",1907
161,AR-II-m-B-00487,"Şcoala normală de fete, azi Liceul Pedagogic ""Dimitrie Ţichindeal""",municipiul ARAD,Str. Blaga Lucian 9,1909
162,AR-II-m-B-00488,"Gimnaziul de băieţi ""Iosif Vulcan”, azi Grupul şcolar de industrie alimentară",municipiul ARAD,Str. Blaga Lucian 15,1887
163,AR-II-m-B-00489,"Casă, azi parohie evanghelică şi locuinţă",municipiul ARAD,Str. Blajului 2,cca. 1900
164,AR-II-m-B-00490,Palatul Suciu,municipiul ARAD,Str. Blajului 3,1906 - 1907
165,AR-II-m-B-00491,"Catedrala ""Sf. Ioan Botezatorul""",municipiul ARAD,Piaţa Catedralei 15,1862 - 1865
166,AR-II-m-B-00492,"Turnul de apă, azi restaurant şi galerie de artă",municipiul ARAD,Str. Ceaikovski P. I. 9A,1896
167,AR-II-m-B-00493,Casă,municipiul ARAD,Str. Chendi Ilarie 1-3,1897
168,AR-II-m-B-00494,Casă (cu farmacie),municipiul ARAD,Str. Ciceo-Pop Ştefan 16,cca. 1908
169,AR-II-m-B-00495,"Şcoală, azi Şcoala generală nr. 2",municipiul ARAD,Str. Ciocârliei 27,1906
170,AR-II-m-B-00496,Casă,municipiul ARAD,"Bd. Decebal 14, str. Georgescu, aviator 8",1912
171,AR-II-m-B-00497,Casă,municipiul ARAD,Bd. Decebal 37,1910
172,AR-II-m-B-00498,Vechiul Cazinou,municipiul ARAD,"Bd. Dragalina Ion, general 27, între Parcul Copiilor şi Hotel ""Parc""",1872
173,AR-II-m-B-00499,"Sala de festivităţi a Şcolii de Arte şi Meserii, azi în cadrul Grupului Şcolar Industrial ""Aurel Vlaicu""",municipiul ARAD,"Bd. Dragalina Ion, general 30",1911
174,AR-II-a-A-00500,"Mănăstirea ""Sf. Simeon Stâlpnicul""-Gai",municipiul ARAD,"Str. Dunării 170, Cartier Gai",1745 - 1765 - sec. XX
175,AR-II-m-A-00500.01,Biserica,municipiul ARAD,"Str. Dunării 170, Cartier Gai",1760 - 1762
176,AR-II-m-A-00500.02,"Fosta reşedinţă de vară episcopală, azi Colecţia de icoane şi carte veche",municipiul ARAD,"Str. Dunării 170, Cartier Gai",1765
177,AR-II-m-A-00500.03,Corpul vechi al chiliilor,municipiul ARAD,"Str. Dunării 170, Cartier Gai",1765
