Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
634,CJ-I-m-A-07212.05,Aşezare,sat TURENI; comuna TURENI,"""La Furci”",Hallstatt
635,CJ-I-m-A-07212.06,Aşezare,sat TURENI; comuna TURENI,"""La Furci”",Epoca bronzului
636,CJ-I-m-A-07212.07,Necropolă tumulară,sat TURENI; comuna TURENI,"""La Furci”",Preistorie
637,CJ-I-s-B-07213,"Situl arheologic de la Tureni, ""Svona”",punct sat TURENI; comuna TURENI,"""Svona”",
638,CJ-I-m-B-07213.01,Aşezare,sat TURENI; comuna TURENI,"""Svona”",Epoca medievală
639,CJ-I-m-B-07213.02,Aşezare,sat TURENI; comuna TURENI,"""Svona”",Epoca migraţiilor
640,CJ-I-m-B-07213.03,Aşezare,sat TURENI; comuna TURENI,"""Svona”",Preistorie
641,CJ-I-s-B-07214,Aşezare,sat TURENI; comuna TURENI,Centrul localităţii,Preistorie
642,CJ-I-s-B-20243,"Situl arheologic de la Tureni, ""Dealul Ghincenghe”",punct sat TURENI; comuna TURENI,"""Dealul Ghincenghe”",
643,CJ-I-m-B-20243.01,Aşezare,sat TURENI; comuna TURENI,"""Dealul Ghincenghe”",Preistorie
644,CJ-I-m-B-20243.02,Tumuli,sat TURENI; comuna TURENI,"""Dealul Ghincenghe”",Preistorie
645,CJ-I-s-B-07215,"Situl arheologic de la Ţaga, ""Hodoş”",punct sat ŢAGA; comuna ŢAGA,"""Hodoş”",
646,CJ-I-m-B-07215.01,Aşezare,sat ŢAGA; comuna ŢAGA,"""Hodoş”","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
647,CJ-I-m-B-07215.02,Aşezare,sat ŢAGA; comuna ŢAGA,"""Hodoş”",Neolitic
648,CJ-I-s-A-07216,Aşezare fortificată,sat ŢAGA; comuna ŢAGA,"""Valea Tistaşului”",Neolitic
649,CJ-I-s-A-07217,Aşezare,sat ŢAGA; comuna ŢAGA,"""Hrube”",Epoca migraţiilor
650,CJ-I-m-B-07218,Ruinele cetăţii Unguraş,sat UNGURAŞ; UNGURAŞ,"comuna ""Dealul cetăţii”",sec. XIV - XVI
