Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
173,IS-I-m-B-03544.02,Aşezare,sat BRĂDICEŞTI; comuna DOLHEŞTI,"""La Odaie"", la cca. 700 m SV de sat","sec. XI – XII, Epoca medieval timpurie"
174,IS-I-m-B-03544.03,Aşezare,sat BRĂDICEŞTI; comuna DOLHEŞTI,"""La Odaie"", la cca. 700 m SV de sat","sec. IV p.Chr, Epoca daco-romană"
175,IS-I-m-B-03544.04,Aşezare,sat BRĂDICEŞTI; comuna DOLHEŞTI,"""La Odaie"", la cca. 700 m SV de sat","sec. II - III p.Chr., Epoca romană"
176,IS-I-m-B-03544.05,Aşezare,sat BRĂDICEŞTI; comuna DOLHEŞTI,"""La Odaie"", la cca. 700 m SV de sat","sec. V - I a. Chr., Latène"
177,IS-I-m-B-03544.06,Aşezare,sat BRĂDICEŞTI; comuna DOLHEŞTI,"""La Odaie"", la cca. 700 m SV de sat","sec. VI - V a. Chr., Hallstatt final"
178,IS-I-m-B-03544.07,Aşezare,sat BRĂDICEŞTI; comuna DOLHEŞTI comuna DOLHEŞTI,"""La Odaie"", la cca. 700 m SV de sat","Hallstatt, grupul Cozia Starčevo – Criş"
180,IS-I-s-B-03545,"Situl arheologic de la Brătuleni, punct ""Râpă""",sat BRĂTULENI; comuna MIROSLAVA,"""La Râpă"", la cca. 1 km N de sat",
181,IS-I-m-B-03545.01,Aşezare,sat BRĂTULENI; comuna MIROSLAVA,"""La Râpă"", la cca. 1 km N de sat","sec. XV şi XVII, Epoca medievală"
182,IS-I-m-B-03545.02,Aşezare,sat BRĂTULENI; comuna MIROSLAVA,"""La Râpă"", la cca. 1 km N de sat","sec. VI – VII, Epoca migraţiilor"
183,IS-I-m-B-03545.03,Aşezare,sat BRĂTULENI; comuna MIROSLAVA,"""La Râpă"", la cca. 1 km N de sat","sec. IV p.Chr, Epoca daco-romană"
184,IS-I-m-B-03545.04,Aşezare,sat BRĂTULENI; comuna MIROSLAVA,"""La Râpă"", la cca. 1 km N de sat","Eneolitic final, cultura Horodiştea – Erbiceni"
185,IS-I-m-B-03545.05,Aşezare,sat BRĂTULENI; comuna MIROSLAVA,"""La Râpă"", la cca. 1 km N de sat","Eneolitic, cultura Cucuteni"
186,IS-I-s-B-03546,Aşezare,sat BREAZU; comuna REDIU,"""Dealul Breazu"" (""La Salcâmi""), la cca. 300 m NE de sat, pe panta sudică a dealului Breazu","Eneolitic final, cultura Horodiştea – Erbiceni"
187,IS-I-s-B-03547,Situl arheologic de la Buhalniţa,sat BUHALNIŢA; comuna CEPLENIŢA,"""Cetăţuia"", la S şi V de sat, la N de pârâul Buhalniţa",
188,IS-I-m-B-03547.01,Aşezare,sat BUHALNIŢA; comuna CEPLENIŢA,"""Cetăţuia"", la S şi V de sat, la N de pârâul Buhalniţa","sec. XV - XVII, Epoca medievală"
189,IS-I-m-B-03547.02,Aşezare,sat BUHALNIŢA; comuna CEPLENIŢA,"""Cetăţuia"", la S şi V de sat, la N de pârâul Buhalniţa","sec. XI – XIII, Epoca medieval timpurie"
190,IS-I-m-B-03547.03,Aşezare,sat BUHALNIŢA; comuna CEPLENIŢA,"""Cetăţuia"", la S şi V de sat, la N de pârâul Buhalniţa","sec. VIII – IX, Epoca migraţiilor"
191,IS-I-m-B-03547.04,Aşezare,sat BUHALNIŢA; comuna CEPLENIŢA comuna CEPLENIŢA,"""Cetăţuia"", la S şi V de sat, la N de pârâul Buhalniţa Buhalniţa","sec. II - III p.Chr., Epoca romană dacică"
193,IS-I-m-B-03547.06,Necropola birituală,sat BUHALNIŢA; comuna CEPLENIŢA,"""Cetăţuia"", la S şi V de sat, la N de pârâul Buhalniţa","sec. IV - III a. Chr. şi sec. I a. Chr - sec. I p. Chr, Latène"
194,IS-I-s-B-03548,"Situl arheologic de la Cârniceni, punct ""Cimitirul Vechi""",sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului",
195,IS-I-m-B-03548.01,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului","sec. XVII - XVIII, Epoca medievală"
196,IS-I-m-B-03548.02,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului","sec. XIV – XV, Epoca medievală"
197,IS-I-m-B-03548.03,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului","sec. VI – VIII, Epoca migraţiilor"
198,IS-I-m-B-03548.04,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului","sec. V – VI, Epoca migraţiilor"
199,IS-I-m-B-03548.05,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului","sec. IV p.Chr, Epoca daco-romană"
200, IS-I-m-B-03548.06, Aşezare, sat CÂRNICENI; comuna ŢIGĂNAŞI," ""Cimitirul Vechi"", la marginea de E a satului"," sec. III - IV p.Chr., Epoca daco-romană"
201,IS-I-m-B-03548.07,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului","Eneolitic final, cultura Horodiştea – Erbiceni"
202,IS-I-m-B-03548.08,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Cimitirul Vechi"", la marginea de E a satului","Eneolitic, cultura Cucuteni, faza B"
203,IS-I-s-B-03549,"Situl arheologic de la Cârniceni, punct ""Holm 1""",sat CÂRNICENI; comuna ŢIGĂNAŞI comuna ŢIGĂNAŞI,"""Holm 1"", la 200 m N de sat, pe partea stângă a şoselei spre Probota stângă a şoselei spre Probota",
205,IS-I-m-B-03549.02,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm 1"", la 200 m N de sat, pe partea stângă a şoselei spre Probota","Eneolitic final, cultura Horodiştea – Erbiceni"
206,IS-I-m-B-03549.03,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm 1"", la 200 m N de sat, pe partea stângă a şoselei spre Probota","Eneolitic, cultura Cucuteni, faza B2"
207,IS-I-m-B-03549.04,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm 1"", la 200 m N de sat, pe partea stângă a şoselei spre Probota","Eneolitic, cultura Precucuteni"
208,IS-I-m-B-03549.05,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm 1"", la 200 m N de sat, pe partea stângă a şoselei spre Probota",Epipaleolitic
209,IS-I-m-B-03549.06,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm 1"", la 200 m N de sat, pe partea stângă a şoselei spre Probota","Paleolitic superior, gravettian"
210,IS-I-s-B-03550,"Situl arheologic de la Cârniceni, punct ""Holm II""",sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm II"", la 1 km N de sat, la limita cu comuna Probota",
211,IS-I-m-B-03550.01,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm II"", la 1 km N de sat, la limita cu comuna Probota","sec. VIII - X, Epoca medieval timpurie, cultura Dridu"
212,IS-I-m-B-03550.02,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm II"", la 1 km N de sat, la limita cu comuna Probota","sec. VI - VII, Epoca medieval timpurie, cultura Costişa - Botoşana"
213,IS-I-m-B-03550.03,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm II"", la 1 km N de sat, la limita cu comuna Probota","sec. III - I a. Chr., Latène, cultura geto- dacică"
214,IS-I-m-B-03550.04,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI comuna ŢIGĂNAŞI,"""Holm II"", la 1 km N de sat, la limita cu comuna Probota comuna Probota","Hallstatt timpuriu Cucuteni, faza B"
216,IS-I-m-B-03550.06,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm II"", la 1 km N de sat, la limita cu comuna Probota","Eneolitic, cultura Precucuteni, faza III"
217,IS-I-m-B-03550.07,Aşezare,sat CÂRNICENI; comuna ŢIGĂNAŞI,"""Holm II"", la 1 km N de sat, la limita cu comuna Probota","Eneolitic, cultura Precucuteni, faza II"
218,IS-I-m-B-03551,Valul lui Traian,sat CÂRNICENI; comuna ŢIGĂNAŞI,"la 3 km E de sat, cu direcţia NNE spre com. Victori",Epoca migraţiilor
219,IS-I-s-B-03552,"Situl arheologic de la Chilişoaia, punct ""Fundătura""",sat CHILIŞOAIA; comuna DUMEŞTI,"""Fundătura"", la 200 m S de sat, pe versantul de E al Dealului Chilişoaia",
220,IS-I-m-B-03552.01,Aşezare,sat CHILIŞOAIA; comuna DUMEŞTI,"""Fundătura"", la 200 m S de sat, pe versantul de E al Dealului Chilişoaia","sec. XIV - XV, Epoca medievală"
221,IS-I-m-B-03552.02,Aşezare,sat CHILIŞOAIA; comuna DUMEŞTI,"""Fundătura"", la 200 m S de sat, pe versantul de E al Dealului Chilişoaia","sec. VII – VIII, Epoca migraţiilor"
222,IS-I-m-B-03552.03,Aşezare,sat CHILIŞOAIA; comuna DUMEŞTI,"""Fundătura"", la 200 m S de sat, pe versantul de E al Dealului Chilişoaia","sec. IV p.Chr, Epoca daco-romană"
223,IS-I-s-B-03553,"Situl arheologic de la Chilişoaia, punct ""Siliştea""",sat CHILIŞOAIA; comuna DUMEŞTI,"""Siliştea"", în marginea de NV a satului, în punctul ""Groapa popii"" de pe teritoriul comunei Popeşti (sat Hărpăşeşti)",până
224,IS-I-m-B-03553.01,Aşezare,sat CHILIŞOAIA; comuna DUMEŞTI,"""Siliştea"", în marginea de NV a satului, în punctul ""Groapa popii"" de pe teritoriul comunei Popeşti (sat Hărpăşeşti)","până sec. XIV - XV, Epoca medievală"
225,IS-I-m-B-03553.02,Aşezare,sat CHILIŞOAIA; comuna DUMEŞTI comuna DUMEŞTI,"""Siliştea"", în marginea de NV a satului, în punctul ""Groapa popii"" de pe teritoriul comunei Popeşti (sat Hărpăşeşti) în punctul ""Groapa popii"" de pe teritoriul","până sec. XI - XII, Epoca medieval timpurie medieval timpurie"
227,IS-I-m-B-03553.04,Aşezare,sat CHILIŞOAIA; comuna DUMEŞTI,"""Siliştea"", în marginea de NV a satului, în punctul ""Groapa popii"" de pe teritoriul comunei Popeşti (sat Hărpăşeşti)","până sec. VII - VIII, Epoca migraţiilor"
228,IS-I-m-B-03553.05,Aşezare,sat CHILIŞOAIA; comuna DUMEŞTI,"""Siliştea"", în marginea de NV a satului, în punctul ""Groapa popii"" de pe teritoriul comunei Popeşti (sat Hărpăşeşti)","până sec. IV - V, Epoca migraţiilor"
229,IS-I-s-B-03554,"Situl arheologic de la Chipereşti, punct ""Ţăruş""",sat CHIPEREŞTI; comuna ŢUŢORA,"""La Ţăruş"", la marginea de SE a satului, spatele Şcolii Generale, la 400 m SSE de podul mare de peste Jijia",în
230,IS-I-m-B-03554.01,Aşezare,sat CHIPEREŞTI; comuna ŢUŢORA,"""La Ţăruş"", la marginea de SE a satului, spatele Şcolii Generale, la 400 m SSE de podul mare de peste Jijia","în sec. XVII, Epoca medievală"
231,IS-I-m-B-03554.02,Aşezare,sat CHIPEREŞTI; comuna ŢUŢORA,"""La Ţăruş"", la marginea de SE a satului, spatele Şcolii Generale, la 400 m SSE de podul mare de peste Jijia","în sec. VIlI –X, Epoca medieval timpurie, cultura Dridu"
232,IS-I-m-B-03554.03,Aşezare,sat CHIPEREŞTI; comuna ŢUŢORA,"""La Ţăruş"", la marginea de SE a satului, spatele Şcolii Generale, la 400 m SSE de podul mare de peste Jijia",în Latène târziu
233,IS-I-m-B-03554.04,Aşezare,sat CHIPEREŞTI; comuna ŢUŢORA,"""La Ţăruş"", la marginea de SE a satului, spatele Şcolii Generale, la 400 m SSE de podul mare de peste Jijia","în Eneolitic final, cultura Horodiştea – Erbiceni"
234,IS-I-m-B-03554.05,"Aşezare Ciurea, punct ""Botul",sat CHIPEREŞTI; comuna ŢUŢORA CIUREA,"""La Ţăruş"", la marginea de SE a satului, spatele Şcolii Generale, la 400 m SSE de podul mare de peste Jijia Ciurea şi cca. 200 m E de cartierul Lunca","în Eneolitic, cultura Precucuteni, faza III"
236,IS-I-m-B-03555.01,Aşezare,sat CIUREA; comuna CIUREA,"""Botul Cihanului"", la 1,5 km SE de Gara Ciurea şi cca. 200 m E de cartierul Lunca Ciurei","CFR sec. XVII - XVIII, Epoca medievală"
237,IS-I-m-B-03555.02,Aşezare,sat CIUREA; comuna CIUREA,"""Botul Cihanului"", la 1,5 km SE de Gara Ciurea şi cca. 200 m E de cartierul Lunca Ciurei","CFR sec. X – XI, Epoca medieval timpurie"
238,IS-I-m-B-03555.03,Aşezare,sat CIUREA; comuna CIUREA,"""Botul Cihanului"", la 1,5 km SE de Gara Ciurea şi cca. 200 m E de cartierul Lunca Ciurei","CFR sec. VI – VIlI, Epoca migraţiilor"
