Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
194,HR-I-m-B-12699.03,Fortificaţie,sat PORUMBENII MICI; comuna PORUMBENI,"""Galat – Omlás”, (764 m), deasupra satului, pe Valea Târnavei Mari","Epoca bronzului, Cultura Wietenberg"
195,HR-I-s-B-12700,Cetatea Rapsóné,sat PRAID; comuna,"PRAID ""Rapsóné vára”, în valea Juhodului (Praidului), pe DN 13B, la cca. 3 km (Praidului), pe DN 13B, la cca."," 2,5 - 2,5 - medievală timpurie"
197,HR-I-m-B-12700.02,Aşezare,sat PRAID; comuna,"PRAID ""Rapsóné vára”, în valea Juhodului (Praidului), pe DN 13B, la cca. 3 km","Latène 2,5 -"
198,HR-I-s-B-12701,Situl arheologic Racu - Bogát,sat RACU; comuna RACU,"""Bogát”",
199,HR-I-m-B-12701.01,Capela „Sf. Iacob şi Filip”,sat RACU; comuna RACU,"""Bogát”","sec. XVI - XVIII, Epoca medievală şi modernă"
200,HR-I-m-B-12701.02,Cetate,sat RACU; comuna RACU,"""Bogát”","sec. II a. Chr. - I p. Chr., Latène"
201,HR-I-m-B-12701.03,Aşezare,sat RACU; comuna RACU,"""Bogát”",Hallstatt
202,HR-I-m-B-12701.04,Aşezare,sat RACU; comuna RACU,"""Bogát”","Epoca bronzului, Cultura Wietenberg"
203,HR-I-s-B-12702,Cetatea Pogányvár,sat RACU; comuna RACU,"""Pogányvár” (Cetatea Păgânilor), NV de sat",la
204, HR-I-m-B-12702.01, Cetate, sat RACU; comuna RACU," ""Pogányvár” (Cetatea Păgânilor), NV de sat"," la sec. XII - XIII, Epoca medievală timpurie"
205,HR-I-m-B-12702.02,Cetate,sat RACU; comuna RACU,"""Pogányvár” (Cetatea Păgânilor), NV de sat","la sec. II a. Chr. - sec. I p. Chr., Latène"
206,HR-I-s-B-12703,Necropola de la Rugăneşti,sat RUGĂNEŞTI; comuna ŞIMONEŞTI,"""În jurul Bisericii Reformate” 100 m)",(cca.
207,HR-I-m-B-12703.01,Necropolă,sat RUGĂNEŞTI; comuna ŞIMONEŞTI ŞIMONEŞTI,"""În jurul Bisericii Reformate” 100 m) 100 m)","(cca. sec. XII - XIII – sec. XVII - XVIII, Epoca medievală post - romană,"
