Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
257,TR-II-m-B-14402,"Biserica ""Sf. Împăraţi Constantin şi Elena”",sat PUTINEIU; comuna PUTINEIU,,1868
258,TR-II-a-B-14401,Ansamblul conacului Malaxa,sat PUTINEIU; comuna PUTINEIU,În centrul localităţii,1907
259,TR-II-m-B-14401.01,Conac,sat PUTINEIU; comuna PUTINEIU,În centrul localităţii,1907
260,TR-II-m-B-14401.02,Clădiri anexă,sat PUTINEIU; comuna PUTINEIU,În centrul localităţii,1907
261,TR-II-m-B-14400,Casa Tudorică Florea,sat PUTINEIU; comuna PUTINEIU,"În centrul localităţii, pe DN 65",1901
262,TR-II-m-B-14403,"Biserica ""Sf. Treime”",sat RĂDOIEŞTI-DEAL; comuna RĂDOIEŞTI,"Str. Cișmelei 2, în centrul localităţii",1857
263,TR-II-m-B-14404,"Biserica ""Sf. Împăraţi”",sat RĂSMIREŞTI; comuna RĂSMIREŞTI,"În centrul localităţii, pe şosea",1850
264,TR-II-m-B-14405,Depoul C.F.R. Roşiori (ruine),municipiul ROŞIORII DE VEDE,În incinta Gării de Est,înc. sec. XX
265,TR-II-a-B-14408,"Ansamblul urban ""Str. 9 Mai""",municipiul ROŞIORII DE VEDE DE VEDE,"Str. 9 Mai, frontul nr. 2-4, până la limita posterioară a loturilor",
267,TR-II-m-B-14413,Casa Bădescu,municipiul ROŞIORII DE VEDE,Str. 9 Mai 4,1913
268,TR-II-m-B-14443,"Biserica ""Sf. Cruce”",municipiul ROŞIORII DE VEDE,Str. Avram Iancu 3,1849
269,TR-II-m-B-14414,"Biserica ""Sf. Ilie”",municipiul ROŞIORII DE VEDE,Str. Caragiale Ion Luca 149,"1804, adăugiri 1833"
270,TR-II-m-B-14415,"Cinematograful ""Carpaţi”",municipiul ROŞIORII DE VEDE,Bd. Carpaţi 20,înc. sec. XX
271,TR-II-m-B-14416,"Protoieria Roşiorii de Vede, fosta Casă municipală de Cultură",municipiul ROŞIORII DE VEDE,Str. Cuza Alexandru Ioan 1,sf. sec. XIX
272,TR-II-m-B-14417,"Casa Lincă, fost Notariat",municipiul ROŞIORII DE VEDE,Str. Cuza Alexandru Ioan 24,1913
273,TR-II-a-B-14406,"Ansamblul urban ""Str. Dunării""",municipiul ROŞIORII DE VEDE,"Str. Dunării, frontul cu nr. 54-58, până limita posterioară a loturilor",la
274,TR-II-m-B-14420,"Casa Stângă, azi Muzeul municipal de istorie ""Petre Voievozeanu""",municipiul ROŞIORII DE VEDE,Str. Dunării 54,sf. sec. XIX
