Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
208, OT-II-m-A-08619.01," Biserica ""Sf. Arhangheli”", municipiul SLATINA, Str. Mănăstirii Clocociov," sec. XVI, ref.1593 -1601 şi 1645"
209,OT-II-m-A-08619.02,Casele stăreţiei,municipiul SLATINA,Str. Mănăstirii Clocociov,sec. XVII
210,OT-II-m-A-08619.03,Turn clopotniţă,municipiul SLATINA,Str. Mănăstirii Clocociov,sec. XVII
212,OT-II-m-B-20147,Casă,municipiul SLATINA,Str. Pieţei 2,1880
213,OT-II-m-B-08620,"Biserica ""Sf. Împăraţi”",municipiul SLATINA,Str. Piteşti 16,"sec. XVIII, ref. 1793"
214,OT-II-m-B-08621,Registrul Comerţului,municipiul SLATINA,Str. Poboran George 2,1896
215,OT-II-m-B-08622,Casa Vereş,municipiul SLATINA,Str. Poboran George 5,1894
216,OT-II-m-B-20148,Casa Mitrican,municipiul SLATINA,Str. Poboran George 10,1890
217,OT-II-m-B-08623,Casă,municipiul SLATINA,Str. Poboran George 21,1908
218,OT-II-m-B-08624,Casă,municipiul SLATINA,Str. Poboran George 23,1908
219,OT-II-m-B-08625,Casa Ştefănescu,municipiul SLATINA,Str. Poboran George 24,1900
220,OT-II-m-B-08626,Casa Călugăru Felicia,municipiul SLATINA,Str. Poboran George 29,1906
221, OT-II-m-B-08627, Casă, municipiul SLATINA, Str. Poboran George 32, 1938
222,OT-II-m-B-08628,Casa Fiera,municipiul SLATINA,Str. Poboran George 34,1938
223,OT-II-m-B-08629,Ruinele castelului de apă,municipiul SLATINA,Str. Prelungirea Tunari,sf. sec. XIX
225,OT-II-a-B-08631,Schitul Strehareţ,municipiul SLATINA,Str. Strehareţ 154,1671
226,OT-II-m-B-08631.01,"Biserica ""Adormirea Maicii Domnului”",municipiul SLATINA,Str. Strehareţ 154,"1664 - 1668, ref. 1844"
227,OT-II-m-B-08631.02,Ruine zid de incintă,municipiul SLATINA,Str. Strehareţ 154,1672
228,OT-II-m-B-08632,Reşedinţa Episcopală (Episcopia Slatinei),municipiul SLATINA,Str. Titulescu Nicolae 24,1902
229,OT-II-m-B-08633,Casă,municipiul SLATINA,Str. Vederii 3,sf. sec. XIX
230,OT-II-m-B-08634,Casă,municipiul SLATINA,Str. Vederii 5,sf. sec. XIX
231,OT-II-m-B-08635,Biserica adventistă,municipiul SLATINA,Str. Vederii 6,înc. sec. XX
232,OT-II-m-B-08636,"Biserica ""Sf. Nicolae (din coastă)”",municipiul SLATINA,Str. Vintilă Vodă,"1700, ref. 1889"
233,OT-II-m-B-08637,"Biserica ""Adormirea Maicii Domnului”",sat AFUMAŢI; comuna LELEASCA,,1857
234,OT-II-m-B-08638,"Biserica ""Sf. Nicolae”",sat ALBEŞTI; comuna POBORU,Valea Secii,1800
235,OT-II-m-B-08639,"Biserica ""Sf. Nicolae” ""Cuvioasa Paraschiva”",sat ALIMĂNEŞTI; comuna IZVOARELE SPINENI,,1821
237,OT-II-m-B-08641,"Biserica ""Sf. Nicolae”",sat BACEA; comuna MOVILENI,,"1801 - 1815, reclădită 1859 - 1860"
238,OT-II-m-B-08642,"Biserica de lemn ""Sf. Nicolae”",sat BALDOVINEŞTI; comuna BALDOVINEŞTI,,"1739, ref. parţial 1860"
239,OT-II-m-B-08643,Conac,sat BALDOVINEŞTI; comuna BALDOVINEŞTI,,sf. sec. XVIII
240,OT-II-m-B-08644,Casa Smarandache,sat BALDOVINEŞTI; comuna BALDOVINEŞTI,244,înc. sec. XX
241,OT-II-m-B-08645,"Biserica ""Sf. Voievozi”",oraş BALŞ,Cartier Măineşti,1805
242,OT-II-m-B-08646,"Biserica ""Adormirea Maicii Domnului”",oraş BALŞ,Cartier Corbeni,1833
243,OT-II-m-B-08647,"Biserica ""Cuvioasa Paraschiva”",oraş BALŞ,Cartier Teiş,1882
244,OT-II-m-B-08650,Casă,oraş BALŞ,Str. Bălcescu Nicolae,sf. sec. XIX
245,OT-II-m-B-08651,Bibliotecă,oraş BALŞ,Str. Bălcescu Nicolae 9,sf. sec. XIX
246,OT-II-m-B-08652,Casă (fost pavilion administrativ Jiul),oraş BALŞ,Str. Bălcescu Nicolae 110,sf. sec. XIX
247,OT-II-m-B-08649,Spitalul vechi,oraş BALŞ,Str. Bălcescu Nicolae 115,sf. sec. XIX
249,OT-II-m-B-08654,Casă,oraş BALŞ,Str. Cireşului 19,sf. sec. XIX
250,OT-II-m-B-08655,Casă,oraş BALŞ,Str. Cireşului 32,sf. sec. XIX
251,OT-II-m-B-08656,Casă,oraş BALŞ,Str. Cireşului 35,sf. sec. XIX
252,OT-II-m-B-08657,Casă,oraş BALŞ,Str. Cireşului 44,înc. sec. XX
253,OT-II-m-B-08658,Casă,oraş BALŞ,Str. Cireşului 45,1932
254,OT-II-a-B-08659,Casă,oraş BALŞ,Str. Cireşului 100,înc. sec. XX
255,OT-II-m-B-08660,"Biserica ""Cuvioasa Paraschiva”",oraş BALŞ,Str. Popa Şapcă 30,1820
256,OT-II-m-B-08661,Casă,oraş BALŞ,Str. Titulescu Nicolae 1,înc. sec. XX
257,OT-II-m-B-08662,Casă,oraş BALŞ,Str. Titulescu Nicolae 2bis,înc. sec. XX
258, OT-II-m-B-08663, Casă, oraş BALŞ, Str. Titulescu Nicolae 8bis, înc. sec. XX
259,OT-II-m-B-08664,"Biserica ""Sf. Dumitru"" şi ""Sf. Ştefan”",oraş BALŞ,Str. Vasilescu Gheorghe 10,"1753, adăugat pridvor 1913"
260,OT-II-m-B-08665,"Biserica ""Sf. Dumitru”",sat BĂBICIU; comuna BĂBICIU BĂBICIU,,1808
262,OT-II-m-B-08667,Şcoala veche,sat BĂLĂNEŞTI; comuna MĂRUNŢEI,,1900
263,OT-II-m-B-08668,"Biserica ""Sf. Împăraţi Constantin şi Elena”",sat BĂLĂNEŞTI; comuna MĂRUNŢEI,,1820
264,OT-II-m-B-08669,Conac,sat BĂLĂNEŞTI; comuna MĂRUNŢEI,,sf. sec. XVIII - înc. sec. XIX
265,OT-II-m-B-08670,"Biserica ""Sf. Apostoli”",sat BĂLEASA; comuna BALDOVINEŞTI,,1878
266,OT-II-m-B-08671,Casă,sat BĂLEASA; comuna BALDOVINESTI,,sf. sec. XIX
267,OT-II-m-B-08672,Casă,sat BĂLEASA; comuna BALDOVINEŞTI,,sf. sec. XIX
268,OT-II-m-B-08673,Moara veche,sat BĂLEASA; comuna BALDOVINEŞTI,,sf. sec. XIX
269,OT-II-m-B-08674,"Biserica ""Adormirea Maicii Domnului”",sat BĂRĂŞTII DE CEPTURI; comuna BĂRĂŞTI,,1820
270,OT-II-m-B-08675,"Biserica ""Sf. Nicolae”",sat BĂRĂŞTII DE VEDE; comuna BĂRĂŞTI,,1900
271,OT-II-m-B-08676,"Biserica ""Cuvioasa Paraschiva"" şi ""Sf. Nicolae”",sat BĂRBĂLĂI; comuna TĂTULEŞTI,,1864
272,OT-II-m-B-08677,Casa Diaconeasa Paraschiva”,sat BĂRCĂNEŞTI; comuna VÂLCELE comuna COLONEŞTI,,1930
274,OT-II-m-B-08679,"Biserica ""Sf. Nicolae”",sat BÂRZA; comuna BÂRZA,,1856
275,OT-II-m-B-08680,"Biserica ""Sf. Împăraţi”",sat BERIA; comuna OPORELU,,1842 - 1843
276,OT-II-a-B-08681,Ansamblul Comăneanu,sat BERINDEI; comuna DĂNEASA,,înc. sec. XX
277,OT-II-m-B-08681.01,Conacul Comăneanu,sat BERINDEI; comuna DĂNEASA,,înc. sec. XX
278,OT-II-m-B-08681.02,Dependințe,sat BERINDEI; comuna DĂNEASA,,înc. sec. XX
279,OT-II-m-B-08682,"Biserica ""Sf. Dumitru”",sat BLAJ; comuna VOINEASA,,1864
280,OT-II-m-B-08683,"Biserica ""Sf. Paraschiva”",sat BOBICEŞTI; comuna BOBICEŞTI,,1818
281,OT-II-m-B-08684,"Biserica ""Sf. Nicolae”, Cuvioasa Paraschiva”",sat BOROEŞTI; comuna BĂRĂŞTI,,1859 - 1862
282,OT-II-m-B-08685,"Biserica ""Sf. Nicolae”",sat BOROEŞTI; comuna BĂRĂŞTI,,1819 - 1822
283,OT-II-a-B-08686,Ruinele Curţii Domneşti,sat BRÂNCOVENI; comuna BRÂNCOVENI,,sec. XVI - XVIII
284,OT-II-m-B-08686.01,"Biserica ""Sf. Nicolae”",sat BRÂNCOVENI; comuna BRÂNCOVENI,,"1634, ref. 1881"
285, OT-II-m-B-08686.02, Ruine zid de incintă, sat BRÂNCOVENI; comuna BRÂNCOVENI comuna BRÂNCOVENI,, 1634
287,OT-II-m-A-08687.01,"Biserica ""Adormirea Maicii Domnului”",sat BRÂNCOVENI; comuna BRÂNCOVENI,,1699
288,OT-II-m-A-08687.02,"Bolniţa ""Sf. Arhangheli”",sat BRÂNCOVENI; comuna BRÂNCOVENI,,1699
289,OT-II-m-A-08687.03,Stăreţie,sat BRÂNCOVENI; comuna BRÂNCOVENI,,sec. XVII
290,OT-II-m-A-08687.04,Turn clopotniţă,sat BRÂNCOVENI; comuna BRÂNCOVENI,,"1634, ref. sec. XIX şi sec. XX"
291,OT-II-m-A-08687.05,Chilii,sat BRÂNCOVENI; comuna BRÂNCOVENI,,sec. XVII
292,OT-II-m-A-08687.06,Clădiri anexe,sat BRÂNCOVENI; comuna BRÂNCOVENI,,sec. XVII
293,OT-II-m-A-08687.07,Zid de incintă,sat BRÂNCOVENI; comuna BRÂNCOVENI,,sec. XVII
294,OT-II-m-B-08688,"Biserica ""Adormirea Maicii Domnului”",sat BREBENI; comuna BREBENI,,1845
295,OT-II-m-B-08689,Conac,sat BREBENI; comuna BREBENI,,înc. sec. XX
296,OT-II-m-B-08690,Crama lui Buzescu,sat BUICEŞTI; comuna PRISEACA,,sec. XVIII
297,OT-II-m-B-08691,"Biserica ""Sf. Nicolae”",sat BUICEŞTI; comuna VALEA MARE,,1770
298, OT-II-m-B-08692," Biserica ""Cuvioasa Paraschiva”", sat BURDULEŞTI; comuna CORBU MIHĂEŞTI,, 1837
300,OT-II-m-B-08697,"Biserica ""Sf. Nicolae”",sat BUŞCA; comuna MIHĂEŞTI,,1847
301,OT-II-m-B-08694,Casa Viorel Iordan,sat BUŞCA; comuna MIHĂEŞTI,128,1911
302,OT-II-m-B-08695,Casa Gheorghe Popescu,sat BUŞCA; comuna MIHĂEŞTI,356,sf. sec. XIX
303,OT-II-m-B-08699,"Biserica ""Adormirea Maicii Domnului”",sat BUTA; comuna CRÂMPOIA,,"1797, ref. 1867"
304,OT-II-m-B-08700,"Biserica ""Sf. Maria”",sat BUTOI; comuna PÂRŞCOVENI,,1860
305,OT-II-m-B-08701,"Biserica ""Sf. Ioan Botezătorul”",sat BUZEŞTI; comuna CORBU,,"înc. sec. XIV - din lemn, reconstruită din zid în 1865"
306,OT-II-m-B-08702,Parcul Poporului,municipiul CARACAL,,sf. sec. XIX
307,OT-II-m-B-08753,Ansamblu urban,municipiul CARACAL,"Str. Mărului, Iancu Jianu, Plevnei, Mieilor, Agnita Botorca, pe ambele părţi ale străzilor",
308,OT-II-m-B-08708,Casă,municipiul CARACAL,Piaţa 1 Decembrie 1918 13,sf. sec. XIX
309,OT-II-m-B-08703,Casă,municipiul CARACAL,Str. 1 Decembrie 1918 4,sf. sec. XIX
310,OT-II-m-B-08704,Casă,municipiul CARACAL,Str. 1 Decembrie 1918 6,înc. sec. XX
311,OT-II-m-B-08705,Casă,municipiul CARACAL,Str. 1 Decembrie 1918 9,înc. sec. XX
313,OT-II-m-B-08707,Casă,municipiul CARACAL,Str. 1 Decembrie 1918 12,înc. sec. XX
314,OT-II-m-B-08709,Casă,municipiul CARACAL,Str. 1 Decembrie 1918 18,înc. sec. XX
315,OT-II-m-B-08710,Casă,municipiul CARACAL,Str. 1 Decembrie 1918 32,înc. sec. XX
316,OT-II-m-B-08711,Casă,municipiul CARACAL,Str. 1 Decembrie 1918 53,înc. sec. XX
317,OT-II-m-B-08712,Casă,municipiul CARACAL,Str. Alecsandri Vasile 2,sf. sec. XIX
318,OT-II-m-B-08713,Casă,municipiul CARACAL,Str. Alecsandri Vasile 4,sf. sec. XIX
319,OT-II-m-B-08714,"Biserica ""Toţi Sfinţii”",municipiul CARACAL,Str. Bicaz,1768
320,OT-II-m-B-08716,Casă,municipiul CARACAL,Str. Bicaz 11,1911
321,OT-II-m-B-08717,Casă,municipiul CARACAL,Str. Bicaz 16,1903
322, OT-II-m-B-08718, Comenduirea garnizoanei, municipiul CARACAL, Str. Bicaz 17,
323,OT-II-m-B-08719,Casă,municipiul CARACAL,Str. Bicaz 18,înc. sec. XX
324,OT-II-m-B-08720,Casă,municipiul CARACAL,Str. Bicaz 20,înc. sec. XX
326,OT-II-m-B-08722,Casă,municipiul CARACAL,Calea Bucureşti 5,sf. sec. XIX
327,OT-II-m-B-08723,Casă,municipiul CARACAL,Calea Bucureşti 10,sf. sec. XIX
328,OT-II-m-B-08724,Casă,municipiul CARACAL,Calea Bucureşti 16,1894
329,OT-II-m-B-08725,"Biserica ""Sf. Vasile”",municipiul CARACAL,Str. Calomfirescu Radu 9,1829
330,OT-II-m-B-08726,Casă,municipiul CARACAL,Str. Caracalla 2,sf. sec. XIX
331,OT-II-m-B-08727,Casă,municipiul CARACAL,Str. Carpaţi 2,înc. sec. XX
332,OT-II-m-B-08728,Casă,municipiul CARACAL,Str. Carpaţi 36,înc. sec. XX
333,OT-II-m-B-08729,Casă,municipiul CARACAL,Str. Carpaţi 90,înc. sec. XX
334,OT-II-m-B-08730,Casă,municipiul CARACAL,Str. Cuza Vodă 4,prima jum. sec. XX
335, OT-II-m-A-08731, Teatrul Naţional, municipiul CARACAL, Str. Cuza Vodă 10, 1900 - 1901
336,OT-II-m-B-08732,Casă,municipiul CARACAL,Str. Cuza Vodă 40,sf. sec. XIX
337,OT-II-m-B-08733,Foişorul de Foc,municipiul CARACAL,"Str. Dobrogeanu Gherea, Constantin",sf. sec. XIX
339,OT-II-m-B-08735,Casă,municipiul CARACAL,"Str. Dobrogeanu Gherea, Constantin 4",1894
340,OT-II-m-B-08736,Casă,municipiul CARACAL,Str. Eminescu Mihai 10,înc. sec. XX
341,OT-II-m-B-08737,Casă,municipiul CARACAL,Str. Eminescu Mihai 22,1905
342,OT-II-m-B-08738,Sinagogă,municipiul CARACAL,"Str. Grigore Ion, sergent",1902
343,OT-II-m-B-08739,"Casa Hagiescu Mirişte, azi Muzeul de Etnografie",municipiul CARACAL,Str. Haşdeu B.P. 2,sf. sec. XIX
