Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
960,BV-IV-m-B-11906,Cruce de piatră,sat BECLEAN; În comuna BECLEAN,"centrul satului, în faţa Primăriei-nr.196",sec. XVIII
961,BV-IV-m-B-11604.02,Cruce de piatră,"sat BECLEAN; 176-A, comuna BECLEAN Maicii","în curtea bisericii ""Adormirea Domnului""",sec. XVIII
962,BV-IV-m-B-11606.02,Cruce de piatră,sat BOD; comuna Str. BOD biserica,"Şaguna Andrei, mitropolit 384, lângă ""Sf. Nicolae""",1874
963,BV-IV-m-B-11907 BV-IV-m-B-11908,Casa Ion Ursu Casa Ion Popescu,sat CAŢA; comuna 153 CAŢA sat CAŢA; comuna 212,,sec. XX sec. XX
965,BV-IV-m-B-11909,Şcoala românească,sat CINCU; comuna 17 CINCU,,sec. XVIII
966,BV-IV-m-B-11910,Casa Valeriu Branişte,sat CINCU; comuna 252 CINCU,,sec. XX
967,BV-IV-m-B-11911,Casa pictorului Aurel Bordenache,oraş CODLEA Str.,Bălcescu Nicolae 45B,sec. XX
968,BV-IV-m-B-11912,Casina Română,oraş CODLEA Str.,Constituţiei 48,1800
969,BV-IV-m-B-11913,Şcoala germană,oraş CODLEA Str.,Măgurii 4,1772
970,BV-IV-m-B-11914,Casa pictorului Eduard Morres,oraş CODLEA Str.,Măgurii 13,sec. XIX
971,BV-IV-m-B-11915,Casa scriitorului popular Michael Königes,oraş CODLEA Str.,Măgurii 20,sec. XIX
972,BV-IV-m-B-11656.02,"Cimitirul bisericii ""Adormirea Maicii Domnului”",sat CRISTIAN; Str. comuna CRISTIAN,Popovici Stoica 17,
973,BV-IV-m-B-11916,Casa Aron Pumnul,sat CUCIULATA; 113 comuna HOGHIZ,,sec. XIX
974,BV-IV-m-B-11917,Casa Şt. O. Iosif,sat DRĂUŞENI; 241 comuna CAŢA,,sec. XIX
975,BV-IV-m-B-11918,Cruce de piatră,sat DUMBRĂVIŢA; În comuna,faţa dispensarului veterinar,sec. XVIII - XIX
976,BV-IV-m-A-11919,Monumentul studenţilor saşi căzuţi în luptă în 1612,sat FELDIOARA; La comuna FELDIOARA,marginea SV a satului,1913
977,BV-IV-m-A-11742.03,"Cruce de piatră, în curtea bisericii ""Naşterea Sf. Ioan Botezătorul”",sat POIANA 20 MĂRULUI; comuna POIANA MĂRULUI,,1700
978,BV-IV-m-B-11920,Casa Nicolae Filipescu,oraş RUPEA Str.,Republicii 105,sec. XVIII
979,BV-IV-m-B-11921,Troiţă,municipiul SĂCELE Bd. str.,"Moroianu General, la intersecţia cu Tărlungeni",sec. XVIII
980,BV-IV-m-B-11922,Troiţa cu crucea de piatră pictată,municipiul SĂCELE Str. George,"Jinga Victor Prof., colţ cu str. Coşbuc",sec. XIX
981,BV-IV-m-B-11923,Casa Magheru Darie,municipiul SĂCELE Str.,Magheru Darie 39,sec. XIX
982,BV-IV-m-B-11796.03,Cruce de piatră,"municipiul SĂCELE Str. ""Sf.","Minea Ilie 227-232, În curtea bisericii Adormire a Maicii Domnului”",1900
983,BV-IV-m-B-11806.02,Troiţă de lemn,"municipiul SĂCELE Bd. ""Adormirea","Moroianu, General, în curtea bisericii Maicii Domnului”- Satulung",1918
984, BV-IV-m-B-11924, Casa Zaharia Bârsan, sat SÂNPETRU; Str. comuna SÂNPETRU, Republicii 614, sec. XX
985,BV-IV-m-A-11824.02 BV-IV-m-A-11843.04,Cruci Cimitir evanghelic,sat ŞIMON; comuna 340 BRAN sat VISCRI; comuna 52,,sec. XVIII - XIX sec. XVIII - XX
