Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1380,B-II-m-B-19096,Vilă,municipiul BUCUREŞTI,Str. Londra 43-45 sector 1,prima jum. sec. XX
1381,B-II-m-B-19097,Vilă,municipiul BUCUREŞTI,Str. Londra 46 sector 1,prima jum. sec. XX
1382, B-II-m-B-19098, Vilă, municipiul BUCUREŞTI, Str. Londra 47 sector 1, prima jum. sec. XX
1383, B-II-m-B-19099, Vilă, municipiul BUCUREŞTI, Str. Londra 48 sector 1, prima jum. sec. XX
1384,B-II-m-B-19100,Vilă,municipiul BUCUREŞTI,Str. Londra 49 sector 1,prima jum. sec. XX
1385,B-II-m-B-19106,Casa prof. dr. Turnescu,municipiul BUCUREŞTI,Str. Lupu Dionisie 37 sector 1,sf. sec. XIX
1386,B-II-m-A-19107 B-II-m-B-19108,"Casa Librecht - Filipescu, azi Casa Universitarilor Casă",municipiul BUCUREŞTI municipiul BUCUREŞTI,Str. Lupu Dionisie 46 sector 1 Str. Lupu Dionisie 49 sector 1,mijl. sec. XIX sf. sec. XIX
1388,B-II-m-B-19109,Casa Averescu,municipiul BUCUREŞTI,Str. Lupu Dionisie 68 sector 1,sf. sec. XIX
1389,B-II-m-B-20935,Corpurile A şi B - partea dinspre str. Dionisie Lupu,municipiul BUCUREŞTI,Str. Lupu Dionisie 70-72 sector 1,sf. sec. XIX - prima jum. sec. XX
1390,B-II-m-B-19110,Imobil,municipiul BUCUREŞTI,Str. Lupu Dionisie 74 sector 1,1946
1391,B-II-m-B-19111,Casa Gheorghe Ţiţeica,municipiul BUCUREŞTI,Str. Lupu Dionisie 80 sector 1,sf. sec. XIX
1392,B-II-m-B-19112,Casă,municipiul BUCUREŞTI,Str. Luterană 14 sector 1,sf. sec. XIX
1393,B-II-a-A-19113,"Ansamblul de arhitectură ""Bd. General Gheorghe Magheru""",municipiul BUCUREŞTI,"Bd. Magheru Gheorghe g-ral, între str. Pictor Verona şi str. C. A. Rosetti sector",prima jum. sec. XX 1
1394,B-II-m-B-19114,Garajul Ciclop,municipiul BUCUREŞTI,Bd. Magheru Gheorghe g-ral 8 sector,1 1923
1395,B-II-m-B-19115,Hotel Ambasador,municipiul BUCUREŞTI,Bd. Magheru Gheorghe g-ral 10 sector,1 1936 - 1937
1396,B-II-m-A-19116,Blocul ARO - Patria,municipiul BUCUREŞTI,Bd. Magheru Gheorghe g-ral 12-14 sector 1,1931 - 1933
1397, B-II-m-B-19117, Palatul Societăţii de Gaz şi Electricitate, municipiul BUCUREŞTI, Bd. Magheru Gheorghe g-ral 33 sector, 1 1935
1398, B-II-m-B-19118 B-II-m-B-19119, Casă Casă, municipiul BUCUREŞTI municipiul BUCUREŞTI, Str. Maica Domnului 6 sector 2 Str. Maica Domnului 11 sector 2, sf. sec. XIX - prima jum. sec. XX sf. sec. XIX - prima jum.
1400,B-II-m-B-19120,Casă,municipiul BUCUREŞTI,Str. Maica Domnului 15 sector 2,sf. sec. XIX - prima jum. sec. XX
1401,B-II-m-B-19121,Casă,municipiul BUCUREŞTI,Str. Maica Domnului 19 sector 2,sf. sec. XIX - prima jum. sec. XX
1402,B-II-m-B-19122,Casă,municipiul BUCUREŞTI,Str. Maica Domnului 21-23 sector 2,sf. sec. XIX - prima jum. sec. XX
1403,B-II-m-B-19123,Casă,municipiul BUCUREŞTI,Str. Maica Domnului 29 sector 2,sf. sec. XIX - prima jum. sec. XX
1404,B-II-m-B-19124,Casă,municipiul BUCUREŞTI,Str. Maica Domnului 49 sector 2,sf. sec. XIX - prima jum. sec. XX
1405,B-II-m-B-19125,Casă,municipiul BUCUREŞTI,Str. Maica Domnului 49B sector 2,sf. sec. XIX - prima jum. sec. XX
1406,B-II-m-B-19126,Casă,municipiul BUCUREŞTI,Str. Maica Domnului 49bis sector 2,sf. sec. XIX - prima jum. sec. XX
1407, B-II-m-B-19127, Casă, municipiul BUCUREŞTI, Str. Maica Domnului 51 sector 2, sf. sec. XIX - prima jum. sec. XX
