Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1045,DB-III-m-B-21075,"Monumentul Eroilor, ""Jertfa""",sat RĂZVAD; comuna RĂZVAD,"DN 72, în fostul sat Răzvadu de Sus, la intersecția cu DC Răzvad-Gorgota",1933
1046,DB-II-m-B-17682,Casa Elena G. Ionescu,sat RĂZVAD; comuna RĂZVAD,"Str. Bisericii 16, în fostul sat Răzvadu",de Jos 1879
1047,DB-II-m-B-17684,"Biserica ""Sf. Nicolae” şi ""Sf. Treime""",sat RĂZVAD; comuna RĂZVAD,"Str. Bisericii 192, în fostul sat Răzvadu","de Sus 1868, pe fundaţii din sec. XVII-XVIII"
1048,DB-II-m-B-17680,Casa Gheorghe Bălescu,sat RĂZVAD; comuna RĂZVAD,"Str. Dispensarului 65, în fostul sat Răzvadu Jos",de 1940
1049,DB-II-m-B-17686,Conacul Vlădeştilor,sat RĂZVAD; comuna RĂZVAD,"Str. Principală 14, în fostul sat Răzvadu",de Sus înc. sec. XX
1050,DB-II-m-B-17683,"Fosta şcoală, azi Centru educativ de zi",sat RĂZVAD; comuna RĂZVAD,"Str. Principală 185, în fostul sat Răzvadu",de Sus 1912
1051,DB-II-m-B-17687,Şcoala,sat RÂNCĂCIOV; comuna DRAGOMIREŞTI,Str. Principală 3,înc. sec. XX
1052,DB-II-m-B-17688,"Biserica ""Sf. Nicolae”, ""Sf. 40 Mucenici"" şi ""Sf. Pantelimon”",sat RÂU ALB DE JOS; comuna RÂU ALB,DJ 712A 233,1853-1854
1053,DB-II-m-B-17689,"Biserica ""Sf. Nicolae”",sat ROMÂNEŞTI; comuna POTLOGI,Str. Crucii,1878-1880
1054,DB-II-m-B-17692,"Biserica ""Intrarea în Biserică”, ""Sf. Nicolae şi Duminica Tomii”",sat RUNCU; comuna RUNCU,Str. Bisericii Runcu 1,1844-1846
1055,DB-II-m-A-17693,"Biserica ""Naşterea Domnului”",sat SĂCUIENI; comuna GURA OCNIŢEI,,1656-1657
1056,DB-II-m-A-17694,"Biserica de lemn ""Sf. Nicolae” - Cornetu",sat aparţinător SĂLCUŢA; oraş TITU,,"sec. XVIII, renov. sf. sec. XIX"
1057,DB-II-m-A-17695,"Biserica ""Adormirea Maicii Domnului”, ""Sf. Nicolae”",sat SĂTENI; comuna ANINOASA,Str. Popa Marin,sec. XIX
1058,DB-II-m-B-17696,"Biserica ""Adormirea Maicii Domnului”",sat SĂVEŞTI; comuna BRANIŞTEA,1160,1809
1059,DB-II-m-B-17697,"Biserica ""Adormirea Maicii Domnului”",sat SCHEIU DE JOS; comuna LUDEŞTI,,1865-1875
1060,DB-II-m-B-17698,Casa Maria Nică,sat SCHEIU DE JOS; comuna LUDEŞTI,127,sec. XIX
1061,DB-II-m-B-17699,Magazia gospodăriei Maria Neacşa,sat SCHEIU DE JOS; comuna LUDEŞTI,172,înc. sec. XX
1062,DB-II-m-B-17546,Casa Paraschiva Badea,sat SCHEIU DE SUS; comuna LUDEŞTI,,sec. XIX
1063,DB-II-m-B-17700,"Biserica ""Adormirea Maicii Domnului”",sat SERDANU; comuna LUNGULEŢU,,1831-1832
1064,DB-II-a-B-17701,Casa Elena Ciurea,sat SILIŞTEA; comuna RUNCU,,sec. XIX
