Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
198,IL-II-m-B-14160,"Casa cu cârciumă şi salon, Vasilica Anescu şi Elena Radu",sat SFÂNTU GHEORGHE; comuna SFÂNTU GHEORGHE SINEŞTI,Str. Principală nr. 35 sec.,XIX
200,IL-II-m-A-14162,"Biserica ""Sf. Trei Ierarhi”",sat SLĂTIOARELE; comuna JILAVELE,"DC 10, la intrarea în sat 1820",
201,IL-II-m-B-20204,Casa cu cârciumă,sat SUDIŢI; comuna SUDIŢI,Str. Mare 123 1928,
202,IL-II-m-B-14165,Şcoală,oraş ŢĂNDĂREI,Str. Perlea Ionel 3 1905,
203,IL-II-m-B-14164,"Biserica ""Sf. Voievozi”",oraş ŢĂNDĂREI,Str. Perlea Ionel 5 1839,
204,IL-II-m-B-14166,Conacul Ion Ionescu,municipiul URZICENI,"""Km. 56"", pe şoseaua 1905 Buzăului",
205,IL-II-m-B-20201,Casă cu prăvălie,municipiul URZICENI,Str. 1918 10 1935,
206,IL-II-m-B-20203,Casă,municipiul URZICENI,Str. Mihai Viteazu 60 1885,
207,IL-II-m-B-14167,"Casă, azi biserica Romano- Catolică",municipiul URZICENI,Str. Panduri 16 1916,
208,IL-II-m-B-20205,Casa Mihai Hovaghinian,municipiul URZICENI,Str. Panduri 21 1926,
209,IL-II-m-B-14168,Conacul Gălăţeanu,municipiul URZICENI,Str. Regele Ferdinand 10 1931,
210,IL-II-m-B-14169,Casă,municipiul URZICENI,Str. Regele Ferdinand 73 1889,
211,IL-II-m-B-20202,Casă,municipiul URZICENI VLĂDENI,Str. Regele Ferdinand 108 1894,
213,IL-III-m-B-14171,Monumentul Eroilor,municipiul SLOBOZIA,Str. Dobrogeanu Gherea 1926 Constantin,
214,IL-III-m-B-14172,Bustul lui Matei Basarab,municipiul SLOBOZIA,Str. Matei Basarab 27 1932,
215,IL-III-m-B-14155,Colac de puţ,municipiul SLOBOZIA,"Bd. Matei Basarab 10, în 1853 faţa Muzeului Agriculturii",
216,IL-IV-s-B-14173,"Cimitirul militarilor români, algerieni, austrieci, englezi, francezi, indieni şi turci căzuţi primul război mondial",municipiul SLOBOZIA în,Str. Eternităţii 2 1932,
217,IL-IV-m-B-14174,Crucea de piatră a Jugănăriţei,sat ALBEŞTI; comuna ALBEŞTI,La 1 km spre Bataluri 1868,
218,IL-IV-a-B-14175,Cinci cruci de hotar,sat AXINTELE; comuna AXINTELE,"Două cruci-Str. Principală sec. nr. 38, două cruci Str. principal nr. 23, mcolț cu str. Corcodușului nr. 1, o cruce- Str. Principală nr. 25",XIX
219,IL-IV-m-A-14100.02,Cavourile familiei Zappa,sat BROŞTENI; comuna ION ROATĂ,"DS 1134, la cca. 300 m de 1857 DN 2A, în incinta bisericii ""Sf. Nicolae""",
220,IL-IV-a-B-14176,Două cruci de piatră,sat COSÂMBEŞTI; comuna COSÂMBEŞTI,În incinta şcolii 1818,şi 1821
221,IL-IV-m-B-14177,Mormântul generalului Eraclie Arion Matei Basarab,sat aparţinător FIERBINŢII DE SUS; oraş FIERBINŢI-TÂRG comuna GIURGENI,"Str. Calea Urziceni 422, În sf. incinta Centrului de Asistenţă Socială archeologic medieval",sec. XIX
223,IL-IV-m-A-14137.02,Cruci de piatră (5),sat JILAVELE; comuna JILAVELE,"DC 10 Jilavele-Slătioarele, sec. în cimitirul bisericii",XVIII - XIX
224,IL-IV-m-B-14151.02,Cruci de piatră (19),sat OGRADA; comuna OGRADA,"Str. Sf. Mare Mc. Gheorghe sec. 2, în spatele Casei Memoriale ""Ionel Perlea""",XIX
225,IL-IV-m-B-14179,Cruce de piatră,sat SFÂNTU GHEORGHE; comuna SFÂNTU GHEORGHE,Spre satul Butoiu 1851,
226, IL-IV-m-B-14180, Cruce de piatră, sat STEJARU; comuna PERIEŢI, Str. Poienii 103 1822,
227,IL-IV-m-B-14181,"Cruci de piatră ""La patru fraţi” (4)",sat VALEA MĂCRIŞULUI; comuna VALEA MĂCRIŞULUI,"""La patru fraţi"", cca. 7 km prima nord-est de satul Broşteni şi 3km sud-vest de satul Valea Măcrişului",jum. a sec. XIX
