Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
284,CT-I-s-B-02689,Aşezare,sat IVRINEZU MIC; comuna PEŞTERA,La 400-500 m V de fortificaţie,
285,CT-I-s-A-02690,Situl arheologic de la Ivrinezu Mic,sat IVRINEZU MIC; comuna PEŞTERA,În perimetrul întregii localităţi,
286,CT-I-m-A-02690.01,Aşezare,sat IVRINEZU MIC; comuna PEŞTERA,În perimetrul întregii localităţi,"sec. IX - XI, Epoca medieval timpurie"
287,CT-I-m-A-02690.02,Ansamblu tumuli,sat IVRINEZU MIC; comuna PEŞTERA comuna PEŞTERA,În perimetrul întregii localităţi,Epoca antică romană
289,CT-I-s-A-02691,Situl arheologic de la Izvoarele,sat IZVOARELE; comuna LIPNIŢA,"""Cale-Gherghi”, pe malul Dunării, la 3 km în aval de sat",
290,CT-I-m-A-02691.01,Fortificaţie medievală,sat IZVOARELE; comuna LIPNIŢA,"""Cale-Gherghi”, pe malul Dunării, la 3 km în aval de sat",Epoca medievală
291,CT-I-m-A-02691.02,Aşezare,sat IZVOARELE; comuna LIPNIŢA,"""Cale-Gherghi”, pe malul Dunării, la 3 km în aval de sat",Epoca medievală
292,CT-I-m-A-02691.03,Cetatea Sucidava,sat IZVOARELE; comuna LIPNIŢA,"""Cale-Gherghi”, pe malul Dunării, la 3 km în aval de sat","sec. II - VI p. Chr., Epoca romană"
293,CT-I-m-A-02691.04,Cetate,sat IZVOARELE; comuna LIPNIŢA,"""Cale-Gherghi”, pe malul Dunării, la 3 km în aval de sat","sec. III - I a. Chr., Latène, Cultura geto - dacică"
294,CT-I-s-B-02692,Aşezare rurală,sat LAZU; comuna AGIGEA,În vatra satului şi în apropierea cimitirului,"sec. II - VI p. Chr., Epoca romană"
295,CT-I-s-B-02693,Aşezare,sat LAZU; comuna AGIGEA,"În marginea de NNV a satului, la cca. 300 m de ultimele case şi la cca. 100 m SV de un pâlc de nuci, pe versantul de al văii","sec. IV - VI p. Chr., Epoca romano-bizantină V"
296, CT-I-s-A-02694, Ansamblu tumuli, sat LIPNIŢA; comuna LIPNIŢA, În perimetrul întregii comune, Epoca antică
297,CT-I-s-B-02695,Aşezare rurală,sat LUMINIŢA; comuna CORBU,,"sec. II - IV p. Chr., Epoca romană"
298,CT-I-s-A-02696,"Situl arheologic ""Oraşul antic Callatis""",municipiul MANGALIA,"Între Sanatoriul balnear, Casa de Cultură, str. Constanţei, Geamie şi intrarea în portul comercial",
299,CT-I-m-A-02696.01,Cetatea romană şi romano- bizantină,municipiul MANGALIA,"Între Sanatoriul balnear, Casa de Cultură, str. Constanţei, Geamie şi","sec. I - VII p. Chr., Epoca romană şi romano-"
300,CT-I-m-A-02696.02,Morminte hypogee paleocreştine cu inscripţii,municipiul MANGALIA,"Pe DJ391 spre Albeşti, în zona intersecţiei cu str. Vârtejan, în dreptul Fabricii de lapte, staţia de betoane şi biogaz","sec. VI - VII, Epoca romano-bizantină de"
301,CT-I-m-A-02696.03,Bazilică,municipiul MANGALIA,"La SE de stadion, lângă zidul de incintă (latura de N)","sec. V - VI p. Chr., Epoca romano-bizantină"
302,CT-I-m-A-02696.04,Clădire,municipiul MANGALIA,În marginea de SE a stadionului,"sec. V - VI p. Chr., Epoca romano-bizantină"
303,CT-I-m-A-02696.05,Necropolă,municipiul MANGALIA,"În marginea de V a oraşului, între calea ferată, drumul spre Albeşti şi grajdurile CAP Mangalia","sec. IV - VI p. Chr., Epoca romano-bizantină"
304,CT-I-m-A-02696.06,Zidul de apărare al cetăţii Callatis,municipiul MANGALIA,"La S de oraş, lângă staţia de decantare","sec. VI a. Chr. - V p. Chr., Epoca greco-romană"
305,CT-I-m-A-02696.07,Necropola tumulară,municipiul MANGALIA,În perimetrul întregului teritoriu administrativ Mangalia,"sec. III - I a. Chr., Epoca elenistică"
306,CT-I-m-A-02696.08,Colonia greacă Callatis,municipiul MANGALIA,"Între Sanatoriul balnear, Casa de Cultură, str. Constanţei, Geamie şi intrarea în portul comercial","sec. IV - I a. Chr., Epoca greacă"
307,CT-I-m-A-02696.09,"Mormântul ""cu papirus”",municipiul MANGALIA,"În partea de V a stadionului, lângă Muzeu","sec. IV - I a. Chr., Latène"
308,CT-I-m-A-02696.10,Necropolă,municipiul MANGALIA,Zona stadionului şi a Sanatoriului TBC,"sec. IV - II a. Chr., Epoca elenistică"
309,CT-I-m-A-02696.11,Mormântul cu boltă (scitic),municipiul MANGALIA,"Pe malul lacului Mangalia, la V de satul 2 Mai centrală şi piaţa actuală","sec. IV - III a. Chr., Latène romană"
311,CT-I-m-A-02558.02,Valul mare de pământ,municipiul MEDGIDIA,"Dispare la pct. Gura Ghermelelor, reapărând 13 km la E, la pct. Pietre, apoi traversează mun. Medgidia în lungul str. Poporului","sec. IX, Epoca medieval timpurie"
