Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
45,SB-I-s-B-11949,Aşezare,sat aparținător Intravilan BRADU; oraş AVRIG,,Epoca bronzului târziu - înc. Hallstatt
46,SB-I-s-B-11950,Situl arheologic de la Bratei,"sat BRATEIU; La comuna BRATEIU Aţel,","E de sat, pe terasa Târnavei spre între km 2-3 de DC Bratei - Aţel",
47,SB-I-m-A-11950.01,Aşezare,"sat BRATEIU; La comuna BRATEIU Aţel,","E de sat, pe terasa Târnavei spre între km 2-3 de DC Bratei - Aţel",sec. XII - XIII
48,SB-I-m-A-11950.02,Aşezare,"sat BRATEIU; La comuna BRATEIU Aţel,","E de sat, pe terasa Târnavei spre între km 2-3 de DC Bratei - Aţel",sec. VI - VIII
49,SB-I-m-A-11950.03,Aşezare,"sat BRATEIU; La comuna BRATEIU Aţel,","E de sat, pe terasa Târnavei spre între km 2-3 de DC Bratei - Aţel",sec. IV - V
50,SB-I-m-A-11950.04,Aşezare,"sat BRATEIU; La comuna BRATEIU Aţel,","E de sat, pe terasa Târnavei spre între km 2-3 de DC Bratei - Aţel",Epoca romană
51,SB-I-m-A-11950.05,Aşezare,"sat BRATEIU; La comuna BRATEIU Aţel,","E de sat, pe terasa Târnavei spre între km 2-3 de DC Bratei - Aţel","Latène, Cultura geto - dacică"
52,SB-I-s-B-11951,Necropolă tumulară de incineraţie,"sat BRĂDENI; ""Dealul comuna BRĂDENI dealului","Bradului”, versantul de S al",sec. II - III p. Chr.
53,SB-I-s-B-11952,Aşezare,sat BUIA; comuna La ŞEICA MARE,NE de marginea intravilanului,"Latène, Cultura geto - dacică"
54,SB-I-s-B-11953,Situl arheologic de la Caşolţ,"sat CAŞOLŢ; ""Pepinieră” comuna ROŞIA","şi ""Tăietură”",
55,SB-I-m-B-11953.01,Aşezare,"sat CAŞOLŢ; ""Pepinieră” comuna ROŞIA Valea Caşolt, parte","şi ""Tăietură”, între râul Bradului şi şoseaua Bradu - ca şi pe Dealul lui Dan, de o şi de alta a pârâului Highiului",sec. II - III p. Chr.
56,SB-I-m-B-11953.02,Necropolă,"sat CAŞOLŢ; ""Pepinieră” comuna ROŞIA Valea Caşolt,","şi ""Tăietură”, între râul Bradului şi şoseaua Bradu - ca şi pe Dealul lui Dan, de o",sec. II - III p. Chr.
57,SB-I-s-B-11954,Necropolă birituală,"sat CAŞOLŢ; ""Trei comuna ROŞIA","Morminţi” sau ""La stejar”",Hallstatt
58,SB-I-s-B-11955,Aşezare,"sat CAŞOLŢ; ""Poiana comuna ROŞIA",în pisc”,"Neolitic, Cultura Petreşti"
59,SB-I-s-B-11956,Situl arheologic de la Cisnădie,"oraş CISNĂDIE ""Cetatea”",,
60,SB-I-m-B-11956.01,Biserica romanică,"oraş CISNĂDIE ""Cetatea”,","intravilan, sat Cisnădioara",Epoca medievală
61,SB-I-m-B-11956.02,Aşezare,"oraş CISNĂDIE ""Cetatea”,","intravilan, sat Cisnădioara","Latène, Cultura geto - dacică"
62,SB-I-s-B-11957,Situl arheologic de la Copşa Mică,"oraş COPŞA MICĂ ""Cetatea”,",situat pe terasa Târnavei,sec. I a.Chr. - I p.Chr.
63,SB-I-m-B-11957.01,Aşezare,"oraş COPŞA MICĂ ""Cetatea”,",situat pe terasa Târnavei,sec. I a.Chr. - I p.Chr.
64,SB-I-m-B-11957.02,Aşezare,"oraş COPŞA MICĂ ""Cetatea”",,"sec. I a.Chr. - I p.Chr., Cultura geto - dacică"
65,SB-I-s-B-11959,Aşezare rurală,sat CRISTIAN; La comuna CRISTIAN,"E de sat, pe malul Cibinului",sec. II - III p. Chr.
66,SB-I-s-B-11960,Necropolă de incineraţie,oraş DUMBRĂVENI Cariera,de lut din cartier Saroş,sec. IV - III a. Chr.
67,SB-I-s-B-11961,Situl arheologic de la Hamba,sat HAMBA; La comuna ŞURA MARE,2 km SE de sat,sec. II - III p. Chr.
68,SB-I-m-B-11961.01,Aşezare,sat HAMBA; La comuna ŞURA MARE,2 km SE de sat,sec. II - III p. Chr.
69,SB-I-m-B-11961.02,Aşezare,sat HAMBA; La comuna ŞURA MARE,2 km SE de sat,"Latène, Cultura geto - dacică"
70,SB-I-s-B-11962,Aşezare rurală,sat HOSMAN; Intravilan comuna NOCRICH,,sec. II - III p. Chr.
71,SB-I-s-B-11963,Fortificaţie de pământ,"municipiul MEDIAŞ ""Pe","Cetate”, la NV de oraş",Hallstatt
72,SB-I-s-B-11964,"Situl arheologic de la Mediaş, punct ""Teba""","municipiul MEDIAŞ ""Teba”, terenul",la extremitatea V a oraşului pe fabricii Vitrometan,sec. III - II a.Chr
73,SB-I-m-B-11964.01,Urme de locuire,"municipiul MEDIAŞ ""Teba”, terenul Vitrometan","la extremitatea V a oraşului, pe (cariera de nisip) a fabricii",sec. XII
74,SB-I-m-B-11964.02,Necropolă,"municipiul MEDIAŞ ""Teba”, terenul Vitrometan","la extremitatea V a oraşului, pe (cariera de nisip) a fabricii",sec. V
75,SB-I-m-B-11964.03,Aşezare,"municipiul MEDIAŞ ""Teba”, terenul Vitrometan","la extremitatea V a oraşului, pe (cariera de nisip) a fabricii","sec. III - II a. Chr., Cultura geto - dacică"
76,SB-I-s-B-11965,Necropolă de incineraţie,"municipiul MEDIAŞ ""Poderei”",,sec. IV a. Chr.
77,SB-I-s-B-11966,"Situl arheologic de la Mediaş, punct ""Baia de Nisip""","municipiul MEDIAŞ ""Baia",de Nisip”,
78,SB-I-m-B-11966.01,Aşezare,"municipiul MEDIAŞ ""Baia",de Nisip”,"Latène, Cultura geto - dacică"
79,SB-I-m-B-11966.02,Necropolă,"municipiul MEDIAŞ ""Baia",de Nisip”,sec. III - IV p. Chr.
80,SB-I-m-B-11966.03,Aşezare,"municipiul MEDIAŞ ""Baia",de Nisip”,Hallstatt
81,SB-I-m-B-11966.04,Aşezare,"municipiul MEDIAŞ ""Baia",de Nisip”,"Epoca bronzului, Cultura Wietenberg"
82,SB-I-m-B-11966.05,Necropolă,"municipiul MEDIAŞ ""Baia",de Nisip”,Neolitic
83,SB-I-s-B-11967,"Situl arheologic de la Mediaş, punct ""Gura Câmpului""","municipiul MEDIAŞ ""Gura",Câmpului”,
84,SB-I-m-B-11967.01,Aşezare,"municipiul MEDIAŞ ""Gura",Câmpului”,Epoca daco-romană
85,SB-I-m-B-11967.02,Aşezare,"municipiul MEDIAŞ ""Gura",Câmpului”,Hallstatt
86,SB-I-s-B-11968,Necropolă de incineraţie,"municipiul MEDIAŞ ""Dealul Mare Târnăveni","Furcilor”, la N de râul Târnava şi intersecţia dintre şoseaua spre şi cea spre Dârlos",sec. IX - X
87,SB-I-s-A-11969,Situl arheologic de la Micăsasa,sat MICĂSASA; În comuna MICĂSASA,centrul satului,
88,SB-I-m-A-11969.01,Urme de locuire,sat MICĂSASA; În comuna MICĂSASA biserică marginea,"centrul satului, zona dintre gară şi şi la S de intravilan, între intravilanului şi Tîrnava",sec. IV - VI
89,SB-I-m-A-11969.02,Aşezare romană,sat MICĂSASA; În comuna MICĂSASA,centrul satului,Epoca romană
90,SB-I-m-A-11969.03,Aşezare rurală,sat MICĂSASA; În comuna MICĂSASA biserică marginea,"centrul satului, zona dintre gară şi şi la S de intravilan, între intravilanului şi Tîrnava",sec. II - III p. Chr.
91,SB-I-s-B-11970,Mansio,"sat MIERCUREA La BĂI; oraş Barcu, MIERCUREA şoseaua SIBIULUI","S de localitate, pe malul pârâului în dreptul băilor, la 100 m S de natională Sibiu - Sebeş",sec. II - III p. Chr.
92,SB-I-s-B-11971,Fermă,"oraş MIERCUREA ""Secaş"", SIBIULUI la intravilanului punctul","la poalele platoului Secaşelor, 2 km NV de extremitatea Miercurea şi la N de Secaş",sec. II - III p. Chr.
93,SB-I-s-B-11972,Fermă,"oraş MIERCUREA La SIBIULUI intravilanului, platoului Miercurea","2 km V de extremitatea pe malul stâng al Gârbova, între pârâu şi DC Sibiului - Gârbova",sec. II - III p. Chr.
94,SB-I-s-B-11973,Fermă,"oraş MIERCUREA ""Coşcane”, SIBIULUI comunei Secaş,",la extremitatea hotarului Miercurea dinspre platoul pe o pantă a podişului Secaşelor,sec. II - III p. Chr.
95,SB-I-s-B-11974,Construcţie romană,"oraş MIERCUREA La SIBIULUI Barcu, Miercurea","S de localitate, pe malul pârâului la S de actuala staţiunea Băi,",sec. II - III p. Chr.
96,SB-I-s-B-11975,Necropola Latene de la Moşna,"sat MOŞNA; ""Burgweg” comuna MOŞNA",,"sec. I p.Chr., Cultura geto - dacică"
97,SB-I-s-B-11976,Aşezare,oraş OCNA La SIBIULUI,5 km N de oraş,"sec. I a.Chr. - I p.Chr., Cultura geto - dacică"
98,SB-I-s-B-11977,Aşezare,oraş OCNA Intravilan SIBIULUI,,sec. II - IV p. Chr.
99,SB-I-s-B-11978,Aşezare,"oraş OCNA ""Zmiţe”, SIBIULUI",la 5 km E de oraş,sec. II - III p. Chr.
100,SB-I-s-B-11979,Situl arheologic de la Ocna Sibiului,"oraş OCNA ""Rocoteciu” SIBIULUI",,sec. I a.Chr. - I p.Chr.
101,SB-I-m-B-11979.01,Urme de locuire,"oraş OCNA ""Rocoteciu”, SIBIULUI",lângă Băi,sec. VIII - IX
102,SB-I-m-B-11979.02,Aşezare,"oraş OCNA ""Rocoteciu”, SIBIULUI",lângă Băi,"sec. I a.Chr. - I p.Chr., Cultura geto - dacică"
103,SB-I-s-B-11980,Castru roman de marş de la Ocna Sibiului,"oraş OCNA ""Drumul SIBIULUI","Topârcii""",sec. II p. Chr.
104,SB-I-s-B-11981,Aşezare,"oraş OCNA ""Platoul SIBIULUI","Triguri”, lângă oraş","Epoca bronzului, Cultura Wietenberg"
105,SB-I-s-B-11982,Aşezare,"oraş OCNA ""Faţa SIBIULUI",vacilor”,Neolitic
106,SB-I-s-A-11983,"Situl arheologic de la Orlat, punct ""Cetatea Scurtă""","sat ORLAT; comuna ""Cetatea ORLAT N",Scurtă” la V de localitate şi la de DJ Orlat - Sibiel,
107,SB-I-m-A-11983.01,Fortificaţie,"sat ORLAT; comuna ""Cetatea ORLAT N",Scurtă” la V de localitate şi la de DJ Orlat - Sibiel,sec. XII
108,SB-I-m-A-11983.02,Aşezare,"sat ORLAT; comuna ""Cetatea ORLAT N",Scurtă” la V de localitate şi la de DJ Orlat - Sibiel,sec. II - III p. Chr.
109,SB-I-m-A-11983.03,Aşezare,"sat ORLAT; comuna ""Cetatea ORLAT N",Scurtă” la V de localitate şi la de DJ Orlat - Sibiel,Epoca bronzului
