Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
239,TL-I -m-B-05836.03,Aşezare,sat MALCOCI; La comuna NUFĂRU,"cca. 0,5 km NV de satul Malcoci",Hallstatt
240,TL-I -s-A-21047,Așezare neo-eneolitică,"sat MALIUC; com. ”Taraschina”, MALIUC","extravilan, T24, Hs313",mileniul V a. Chr.- sec. XI p. Chr
241,TL-I -s-A-05837,"Situl arheologic ""Cetatea Arrubium""","oraş MĂCIN ""La pe braţului","Cetate”, la marginea de SV a oraşului, o terasă înaltă aflată pe malul drept al Măcin",
242,TL-I -m-A-05837.01,Aşezare medievală,"oraş MĂCIN ""La","Cetate”, sectorul de S al oraşului",Epoca medievală
243,TL-I -m-A-05837.02,Cetatea Arrubium,"oraş MĂCIN ""La pe braţului","Cetate”, la marginea de SV a oraşului, o terasă înaltă aflată pe malul drept al Măcin","sec. I - VII p. Chr., Epoca romană"
244,TL-I -m-A-05837.03,Aşezarea civilă a cetăţii,"oraş MĂCIN ""La","Cetate”, sectorul de S al oraşului",Epoca romană
245,TL-I -m-A-05837.04,Cimitir musulman,oraş MĂCIN Intravilanul Orient,"oraşului Măcin, sector S, str. nr. 5",Epoca medievală
246,TL-I -m-A-05837.05,Necropolă romană,oraş MĂCIN Intravilanul,"oraşului Măcin, sector S",Epoca romană
247,TL-I -s-B-05838,Turris,"sat MIHAI BRAVU; ""Movila comuna MIHAI BRAVU","Bisericuţa”, la 2 km SV de sat","sec. IV p. Chr., Epoca romană"
248,TL-I -s-B-05839,Tumuli (9),sat MIHAI BRAVU; La comuna MIHAI cca. BRAVU malul,"cca. 2,5 km SE de satul Mihai Bravu şi 1,5 km SSE de satul Satu Nou, pe sudic al bălţii Topraichioi",
249,TL-I -s-B-05840,Situl arheologic de la Mihai Bravu,"sat MIHAI BRAVU; ""Taşlâc”, comuna MIHAI la BRAVU","extravilan, cca. 500 m V de sat, S de DJ Mihai Bravu-Turda",
250,TL-I -m-B-05840.01,Aşezare,"sat MIHAI BRAVU; ""Taşlâc”, comuna MIHAI la BRAVU","extravilan, cca. 500 m V de sat, S de DJ Mihai Bravu-Turda","sec. X - XI, Epoca medievală timpurie"
251,TL-I -m-B-05840.02,Quadriburgium,"sat MIHAI BRAVU; ""Taşlâc”, comuna MIHAI S BRAVU",cca. 700 m V de sat şi cca. 50 m de DJ Mihai Bravu-Turda,"sec. IV p. Chr., Epoca romană"
252,TL-I -m-B-05840.03,Aşezare rurală,"sat MIHAI BRAVU; ""Taşlâc”, comuna MIHAI la BRAVU","extravilan, cca. 500 m V de sat, S de DJ Mihai Bravu-Turda","sec. II - IV p. Chr., Epoca romană"
253,TL-I -m-B-05840.04,Necropolă tumulară şi plană,"sat MIHAI BRAVU; ""Taşlâc”, comuna MIHAI la BRAVU","extravilan, cca. 500 m V de sat, S de DJ Mihai Bravu-Turda","sec. II - IV p. Chr., Epoca romană"
254,TL-I -s-B-05841,Aşezare,sat MIHAI BRAVU; La comuna MIHAI stâng BRAVU,"cca. 1,6 km NNV de sat, pe malul al Taiţei","sec. IX - X, Epoca medievală timpurie"
255,TL-I -s-B-05842,Aşezare,sat MIHAI BRAVU; La comuna MIHAI al BRAVU,"cca. 2 km NNV de sat, pe malul stâng Taiţei","Hallstatt, Cultura Babadag"
256,TL-I -s-B-05826,Aşezare getică,sat MURIGHIOL; La comuna cca. MURIGHIOL de de,"cca. 3,2 km SE de satul Mahmudia şi 2,7 km NV de satul Murighiol, la N DJ Mahmudia-Murighiol, cca. 500 m N punctul ""Ghiolul Pietrei""","sec. IV - III a. Chr., Latène, Cultura geto - dacică"
257,TL-I -s-B-05843,Aşezare rurală,sat MURIGHIOL; La comuna Murighiol-Dunavăţul MURIGHIOL,"cca. 1 km SE de sat, în stânga DJ de Sus","sec. II - IV p. Chr., Epoca romană"
258,TL-I -s-A-05844,"Situl arheologic ""Cetatea Halmyris""",sat MURIGHIOL; La comuna DJ MURIGHIOL,"1,6 km SE de Murighiol şi 50 m N de Murighiol-Dunavăţul de Sus",
259,TL-I -m-A-05844.01,Cetatea Halmyris,sat MURIGHIOL; La comuna DJ MURIGHIOL,"1,6 km SE de Murighiol şi 50 m N de Murighiol-Dunavăţul de Sus","sec. IV a. Chr. - VII p. Chr., Epoca greco-romană"
260,TL-I -m-A-05844.02,Aşezare civilă,sat MURIGHIOL; La comuna cetatea MURIGHIOL Murighiol-Dunavăţul,"1,6 km SE de Murighiol, la E de Halmyris, la N şi la S de DJ de Sus","sec. IV a. Chr. - VII p. Chr., Epoca greco-romană"
261,TL-I -m-A-05844.03,Necropolă,sat MURIGHIOL; La comuna DJ MURIGHIOL şi Halmyris,"1,6 km SE de Murighiol, la N şi la S de Murighiol-Dunavăţul de Sus, precum pe dealurile de la S de cetatea","sec. IV a. Chr - VII p. Chr., Epoca greco-romană"
262,TL-I -s-B-05845,Situl arheologic de la Murighiol,"sat MURIGHIOL; Între comuna Murighiol, MURIGHIOL Murighiol, Dunavăţul","800 m - 1,5 km SSE de satul pe versantul de N al dealului la S de DJ Murighiol- de Sus",
263,TL-I -m-B-05845.01,Aşezare,"sat MURIGHIOL; Între comuna Murighiol, MURIGHIOL Murighiol, Dunavăţul","800 m - 1,5 km SSE de satul pe versantul de N al dealului la S de DJ Murighiol- de Sus",Epoca medievală
264,TL-I -m-B-05845.02,Aşezare rurală,"sat MURIGHIOL; Între comuna Murighiol, MURIGHIOL Murighiol, Dunavăţul","800 m - 1,5 km SSE de satul pe versantul de N al dealului la S de DJ Murighiol- de Sus",Epoca romană
265,TL-I -s-B-05846,Aşezare getică,sat MURIGHIOL; La comuna lângă MURIGHIOL vestică punctul,"NV de ghiolul ”Sărătura Murighiol”, dealul Duna, la 1,5 km SV de limita a satului şi cca. 1,5 km SE de ""Ghiolul Pietrei”","Latène, Cultura geto - dacică"
266,TL-I -s-B-05847,"Situl arheologic de la Murighiol, punct ""Ghiolul Pietrei”","sat MURIGHIOL; ""Ghiolul comuna Murighiol, MURIGHIOL şi","Pietrei”, la cca. 2 km NV de satul între DJ Mahmudia-Murighiol malul lacului",
267,TL-I -m-B-05847.01,Aşezare,"sat MURIGHIOL; ""Ghiolul comuna Murighiol, MURIGHIOL şi","Pietrei”, la cca. 2 km NV de satul între DJ Mahmudia-Murighiol malul lacului",Epoca medievală timpurie
268,TL-I -m-B-05847.02,Aşezare,"sat MURIGHIOL; ""Ghiolul comuna Murighiol, MURIGHIOL şi","Pietrei”, la cca. 2 km NV de satul între DJ Mahmudia-Murighiol malul lacului","sec. II - I a. Chr., Latène, Cultura geto - dacică"
269,TL-I -m-B-05847.03,Aşezare,"sat MURIGHIOL; ""Ghiolul comuna Murighiol, MURIGHIOL şi","Pietrei”, la cca. 2 km NV de satul între DJ Mahmudia-Murighiol malul lacului","Hallstatt, Cultura Babadag"
270,TL-I -s-B-05848,Situl arheologic de la Murighiol,"sat MURIGHIOL; Intravilan, comuna Murighiol MURIGHIOL",aproape de malul lacului,
271,TL-I -m-B-05848.01,Aşezare getică,"sat MURIGHIOL; Intravilan, comuna Murighiol MURIGHIOL",aproape de malul lacului,"sec. IV - II a. Chr., Latène, Cultura geto - dacică"
272,TL-I -m-B-05848.02,Necropolă,"sat MURIGHIOL; Intravilan, comuna Murighiol MURIGHIOL",aproape de malul lacului,"sec. IV - II a. Chr., Latène, Cultura geto - dacică"
273,TL-I -s-B-05849,Tumuli,sat MURIGHIOL; Pe comuna MURIGHIOL,întreg teritoriul comunei Murighiol,
274,TL-I -s-B-05850,Aşezare rurală,sat NALBANT; La comuna NALBANT,cca. 2 km NE de sat,Epoca romană
275,TL-I -s-B-05851,Aşezare rurală,sat NALBANT; La comuna NALBANT,limita de E a satului Nalbant,Epoca romană
276,TL-I -s-B-05852,Aşezare rurală getică,sat NALBANT; La comuna NALBANT,200 m SE de satul Nalbant,"Epoca romană, Cultura geto - dacică"
277,TL-I -s-B-05853,Aşezare,sat NALBANT; Intravilan comuna NALBANT,,"sec. III - II a. Chr., Latène, Cultura geto - dacică"
278,TL-I -s-B-05854,Tumul,sat NALBANT; La comuna NALBANT apropiera,"1,5 km NE de satul Nalbant, în DN Nalbant-Cataloi",
279,TL-I -s-B-05855,Tumuli (3),sat NALBANT; La comuna NALBANT DN,"2 km VSV de satul Nalbant, în dreapta Nalbant-Nicolae Bălcescu",
280,TL-I -s-B-05905,Villa rustica,sat NEATÂRNAREA; La comuna BEIDAUD Deal,"cca. 2,8 km NNV de satul Sarighiol de şi 1,1 km SE de satul Neatârnarea",Epoca romană
281,TL-I -s-B-05856,Val,"sat NICULIŢEL; ""Troianul”, comuna NICULIŢEL administrativ parțial, UAT","și în NE, N și V teritoriului al UAT Valea Teilor și, în E teritoriului administrativ al Hamcearca",
282,TL-I -s-B-05857,Villa rustica,sat NICULIŢEL; Pe comuna NICULIŢEL intersecţia mănăstirea,"valea pârâului Capaclia, la S de E87 cu drumul spre Cocoş",Epoca romană
283,TL-I -s-B-05858,Aşezare,sat NICULIŢEL; La comuna NICULIŢEL,cca. 350 m V de mânăstirea Saun,Epoca romană
284,TL-I -s-B-05859,"Situl arheologic de la Niculiţel, punct ""Ceairul lui Iancu""","sat NICULIŢEL; ""Ceairul comuna NICULIŢEL de","lui Iancu”, între 3 şi 3, 5 km NE sat",
