Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
375,BH-II-m-B-21025,"Biserica romano-catolica ""Regele Sf. Ștefan""",municipiul SALONTA,Str. Republicii 12,1875- 1876
376,BH-II-m-B-21026,Policlinică/fost imobil de raport,municipiul SALONTA,Str. Republicii 10,1911 – 1914
377,BH-II-m-B-21027,Liceul Teoretic,municipiul SALONTA,Str. Republicii 90,
378,BH-II-m-B-01194,Biserica reformată,oraş SĂCUENI,Str. Crişana 37 Nr. topo 1125,"sec. XV, transf. în sec.XVIII"
379,BH-II-m-B-01195,Palatul Stubenberg,oraş SĂCUENI,Str. Irinnyi Janos 1 Nr. topo 1,sec. XVIII
380,BH-II-m-B-21067,Biserica Sf. Arh. Mihail și Gavril,oraș SĂCUENI,Str. Irinyi Janos 19,1930 - 1931
381,BH-II-m-B-01196,"Biserica romano - catolică ""Sf. Maria Imaculata”",oraş SĂCUENI,Str. Irinnyi Janos 1A,1711 - 1768
382,BH-II-a-B-01197,"Ansamblul bisericii romano-catolice ""Sf. Maria Imaculata”",sat SĂLACEA; comuna SĂLACEA,2223,"1792, ref.1936"
383,BH-II-m-B-01197.01,"Biserica romano-catolică ""Sf. Maria Imaculata”",sat SĂLACEA; comuna SĂLACEA,22,"1792, ref. 1936"
384,BH-II-m-B-01197.02,Casa parohială a bisericii romano-catolice de la Sălard,sat SĂLACEA; comuna SĂLACEA SĂLARD,23,sec. XVIII
386,BH-II-m-B-01199,"Conac, azi azil pentru persoane vârstnice",sat SĂLARD; comuna SĂLARD,548,sec. XVIII - XIX
387,BH-II-m-B-01200,Biserica reformată,sat SĂLARD; comuna SĂLARD,553,înc. sec. XV
388,BH-II-m-B-01201,Hambar,sat SĂLARD; comuna SĂLARD,733,1792
389,BH-II-m-B-01202,"Biserica de lemn ""Sf. Ierarh Nicolae”",sat SĂLDĂBAGIU MIC; comuna CĂPÂLNA,98,sec. XVIII
